"","S","H","lambda","lambdai","bri","equipielou","eqhill","iheip","bp","fatores"
"A1",15,1.5055370319414,0.555856018268133,2.25152212149912,1.27904697647015,0.555948715916945,0.499608470653805,0.250469511019971,0.65891472868217,1
"A2",15,1.8107873425439,0.728490813986447,3.68311663661384,1.50912696578743,0.668668306742206,0.60228288424141,0.365375738707996,0.456852791878173,1
"A3",15,1.63359290645952,0.74085451595457,3.85883629685283,Inf,0.603235828418035,0.753348573005266,0.294446103240773,0.325581395348837,1
"B1",6,1.05392511545797,0.48596149242502,1.94537954893221,Inf,0.588206806526342,0.678094909323363,0.373777954143146,0.701754385964912,2
"B2",7,1.3369615683363,0.664269111003903,2.97857609405617,1.26369518373218,0.687062333780088,0.782300608232904,0.467909535607698,0.463576158940397,2
"B3",8,1.5104746600325,0.685503245006992,3.17968304640292,1.26009311915754,0.72638476713911,0.702090378353121,0.50412570893171,0.508982035928144,2
"C1",8,1.99871397204913,0.855457788347206,6.91839420862126,1.74982744462835,0.961178245210252,0.937507725981337,0.911365667699953,0.206896551724138,3
"C2",6,1.7545752148124,0.821520870859112,5.60289600702062,1.47505837135206,0.979247072470236,0.969192908783392,0.956198308147719,0.221238938053097,3
"C3",7,1.87677279833415,0.837669625548413,6.16027655562539,1.75273652802403,0.964470430068558,0.943035712035208,0.922064911753735,0.222222222222222,3
