A1	A2	A3	A4	A5	I1	I2	I3	I4	I5	M1	M2	M3	M4	M5
Sebastiania.brasiliensis	0	5	0	0	0	0	0	0	9	0	0	0	0	0	0
Sloanea.aff..lasiocoma	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Solanum.mauritianum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Solanum.pseudoquina	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Solanum.reitzii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sorocea.bonplandii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Symplocos.tenuifolia	0	0	0	0	0	0	2	0	1	0	1	0	1	1	0
Tibouchina.sellowiana	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Trichilia.elegans	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Vernonanthura.discolor	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
Vitex.megapotamica	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zanthoxylum.rhoifolium	0	0	0	0	0	2	1	0	1	1	0	0	0	0
